Year,Subject,Chapter,Level,Category,Stem,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2025,Business Org & Mgmt 2nd,1,Dhaka Board,Board,Mr. Arnab Chowdhury plans and sets policies for 'Arsha Jute Mills'. Mr. Mahim implements those policies by directing foremen and supervisors according to standards.,(a) What is the management cycle?,(b) 'Is management a profession?'—Explain.,(c) Which level of management does Mr. Arnab belong to? Explain.,(d) Is the contribution of both equally important? Give 4 points in support.,The management cycle is the continuous process of performing management functions (Planning to Controlling) in a logical sequence.,"Management is a ""quasi-profession""; it requires specialized knowledge and code of conduct, but lacks mandatory licensing like medicine.","Mr. Arnab is a Top-level Manager. He is involved in defining goals, long-term planning, and policy-making for the entire organization.","1. Strategic Direction: Arnab provides the vision and goals.

2. Execution: Mahim ensures plans turn into reality.

3. Interdependence: Plans are useless without execution.

4. Synergy: Their combined effort creates institutional success."
2025,Business Org & Mgmt 2nd,1,Dhaka Board,Board,[Conceptual Diagram: Planning $$\rightarrow$$ 'ক' $$\rightarrow$$ Staffing $$\rightarrow$$ Directing $$\rightarrow$$ Motivating $$\rightarrow$$ Coordinating $$\rightarrow$$ 'খ'],(a) What is management?,"(b) Explain ""Universality of Management.""",(c) Which management function belongs at 'ক'? Explain.,(d) Analyze the comparative differences between function 'খ' and Planning.,"Management is the process of planning, organizing, leading, and controlling resources to achieve organizational goals effectively and efficiently.","It means management principles are applicable in all types of organizations (social, political, or economic) and at all levels of life.","1. 'ক' represents Organizing.

2. After planning, resources and tasks must be grouped.

3. It involves defining roles and authority.

4. It creates the structure for execution.","1. 'খ' is Controlling, the final step, while Planning is the first.

2. Planning is future-oriented; Controlling is evaluative of the past.

3. Planning sets the ""standard""; Controlling measures the ""deviation.""

4. Planning is the ""base,"" whereas Controlling ensures the ""goal"" is met."
2025,Business Org & Mgmt 2nd,1,Rajshahi Board,Board,Mr. Sabbir determines long-term goals/strategies. Mr. Abir manages employees directly to implement those decisions.,(a) Who is the father of modern management?,(b) 'Management is a profession'—Explain.,(c) At which level of management is Mr. Sabbir working? Explain.,(d) Analyze the importance of managerial skills seen in Mr. Abir.,Henri Fayol is considered the father of modern management.,"It is a profession because it requires a specialized body of knowledge, formal training, and intellectual application.",Mr. Sabbir is in Top-level Management. His role focuses on determining the long-term vision and core strategies of the firm.,"1. Human Skill: Abir manages people effectively.

2. Technical Skill: He supervises tasks directly.

3. Implementation: He bridges the gap between goal and action.

4. Morale: His supervision keeps workers satisfied."
2025,Business Org & Mgmt 2nd,1,Rajshahi Board,Board,Students of the Management Dept. at 'Khang' College planned a study tour to Sylhet. The Head of Dept. (HOD) decided the schedule and locations in advance. He then distributed tasks among teachers to ensure a successful tour.,(a) What are the levels of management?,(b) Why is control important in management? Explain.,(c) Which management function includes the HOD's actions before going on the tour? Explain.,(d) Analyze the management function that played a vital role later in the success of the tour based on the stem.,"Management levels refer to the division of authority and responsibility within an organization, typically categorized into top, mid, and lower levels.","Control is vital because it measures actual performance against standards, identifies deviations, and allows for corrective actions to achieve goals.","The actions belong to Planning. Planning involves deciding in advance what to do, when to do it, and who will do it. Since the HOD fixed the destination and schedule beforehand, it is planning.","1. The function is Organizing.

2. The HOD distributed specific duties among all teachers to execute the tour.

3. This grouping of activities and assignment of responsibility creates a clear work structure.

4. Without this distribution of tasks, the plan would not have been executed successfully."
2025,Business Org & Mgmt 2nd,1,Jessore Board,Board,Mr. Shimul sets policies and coordinates with external organizations. Mr. Pradeep is an accounting manager who achieves goals by getting accounting tasks done through his subordinates.,(a) Who is the father of modern management?,(b) 'Management is a profession'—Explain.,(c) Which level officer is Mr. Shimul? Explain.,(d) Analyze the nature of Mr. Pradeep's skills.,Henri Fayol is the father of modern management.,"Management is a profession because it requires a specialized body of knowledge, formal training, and a code of ethics.","Mr. Shimul is a Top-level Manager. His roles involve policy-making, defining long-term goals, and representing the firm to outside entities.","1. Mr. Pradeep primarily demonstrates Human (Interpersonal) Skills.

2. He also requires Technical Skills as he manages the accounting department specifically.

3. His ability to get work done ""through subordinates"" highlights his leadership and communication skills.

4. These skills are essential at the middle management level to bridge the gap between policy and action."
2025,Business Org & Mgmt 2nd,1,Jessore Board,Board,[Conceptual Diagram of Management Cycle: Planning (১) $$\rightarrow$$ Organizing (২) $$\rightarrow$$ '?' (৩) $$\rightarrow$$ Directing (৪) $$\rightarrow$$ Motivating (৫) $$\rightarrow$$ Coordinating (৬) $$\rightarrow$$ 'P' (৭)],(a) What is management?,(b) Why is management called universal? Explain.,(c) Which function is missing at the '?' mark? Explain.,"(d) ""Without 'P', management work is bound to be meaningless and chaotic""—Do you agree? Give logic.","Management is the process of planning, organizing, staffing, directing, and controlling to achieve goals efficiently.","It is universal because its principles are required in every collective effort, whether it is a family, a social club, or a state.","1. The '?' mark (step 3) represents Staffing (কর্মীসংস্থান).

2. It follows organizing and precedes directing.

3. It involves recruiting, selecting, and training people.

4. Without the right people, the structure remains empty.","1. 'P' represents Controlling (নিয়ন্ত্রণ), the final stage.

2. Control ensures that actual work aligns with the initial plan.

3. Without it, errors go undetected, leading to chaos and goal failure.

4. It provides the basis for the next planning cycle."
2025,Business Org & Mgmt 2nd,1,Comilla Board,Board,Md. Russel is a sales officer who works hard to achieve goals. He coordinates with various departments and implements the plans made by the Board of Directors through his subordinates. He believes implementation is more important than just making decisions.,(a) What is management?,(b) What is meant by the management cycle?,(c) Which level of management does Mr. Russel belong to? Explain.,"(d) ""Not just making decisions, but implementing them is the real task""—Evaluate in light of the stem.",Management is the process of getting things done through and with people to achieve organizational goals effectively.,"The management cycle is the continuous and sequential process of performing functions like planning, organizing, staffing, directing, and controlling.","1. Mr. Russel is a Mid-level Manager.

2. He acts as a bridge between the Board (Top level) and subordinates.

3. He focuses on implementing departmental plans.

4. He coordinates with other departments to ensure goal attainment.","1. Execution Focus: Russel turns the top management's vision into actionable reality.

2. Departmental Success: Without implementation, the best strategic decisions remain theoretical.

3. Supervision: He ensures subordinates work according to the set standards.

4. Goal Attainment: Real results are only achieved when plans are executed effectively on the field."
2025,Business Org & Mgmt 2nd,1,Comilla Board,Board,[Conceptual Diagram of Management Cycle: 'A' $$\rightarrow$$ Organizing $$\rightarrow$$ Staffing $$\rightarrow$$ Directing $$\rightarrow$$ Motivating $$\rightarrow$$ 'F' $$\rightarrow$$ Controlling],(a) Who is the father of scientific management?,(b) What is meant by consultative direction?,(c) What is the function at stage 'F' in the diagram? Explain.,(d) The work at stage 'A' is very important. Discuss.,F.W. Taylor is the father of scientific management.,Consultative direction is a leadership style where the manager discusses and seeks opinions from subordinates before making a final decision.,"1. Stage 'F' represents Coordinating (সমন্বয়সাধন).

2. It integrates the activities of different departments.

3. It ensures all members work toward a common goal.

4. It prevents conflict and overlap in tasks.","1. 'A' is Planning (পরিকল্পনা), the first step.

2. It sets the foundation for all other functions.

3. It reduces uncertainty and risk.

4. It defines the ""What, How, and When"" of an organization."
2025,Business Org & Mgmt 2nd,1,Chittagong Board,Board,Reference: image_20031b.png. Diagram of the management cycle: Planning $$\rightarrow$$ 'ক' $$\rightarrow$$ Staffing $$\rightarrow$$ Directing $$\rightarrow$$ Motivating $$\rightarrow$$ 'খ' $$\rightarrow$$ Controlling.,(a) What is motivation?,"(b) ""Administration is the brain of management""—Explain.",(c) Which management function is performed at stage 'ক'? Explain.,"(d) ""Absence of the function at 'খ' will create chaos in the organization""—Do you agree? Analyze.",Motivation is the process of inspiring and encouraging employees to work with interest and dedication to achieve organizational goals.,"Administration sets the core policies and goals (thinking/deciding), while management executes them (doing), making administration the guiding ""brain.""","1. Stage 'ক' represents Organizing (সংগঠন).

2. It involves grouping tasks and assigning authority.

3. It establishes relationships between workers and resources.

4. It creates the organizational structure.","1. 'খ' represents Coordinating (সমন্বয়সাধন).

2. Yes, I agree; it integrates departmental efforts.

3. Without it, individuals work in isolation, causing conflict.

4. It ensures all ""moving parts"" work toward one goal."
2025,Business Org & Mgmt 2nd,1,Chittagong Board,Board,"Surma Cement' is a large factory in Munshiganj. Mr. Rafiq, a director, sets goals and policies. Mr. Kabir arranges the field-level implementation of those plans.",(a) What is division of labor?,(b) 'Management is an economic resource'—Explain.,(c) Which level of manager is Mr. Rafiq? Explain.,"(d) ""Mr. Kabir's role is vital for achieving goals""—Evaluate in light of the stem.","Division of labor is the process of breaking down a complex task into smaller, specialized parts and assigning them to individuals based on their skills.","Management is an economic resource because it coordinates the other factors of production (land, labor, capital) to achieve maximum output with minimum waste.","1. Mr. Rafiq is a Top-level Manager.

2. He is a ""Director"" involved in defining objectives and policy formulation.

3. These functions determine the long-term vision of the company.

4. He provides the overall direction for 'Surma Cement'.","1. Execution: Kabir bridges the gap between Rafiq’s policy and actual results.

2. Field Management: He ensures that strategy becomes action.

3. Supervision: He guides lower-level staff to follow the standards.

4. Success: Goals remain theoretical without Kabir's practical implementation."
